iter	RMSE
343	1.306553806
344	1.303434696
345	1.300663465
346	1.2987532
347	1.29770626
348	1.296846661
349	1.292933533
350	1.291877758
351	1.288909038
352	1.286996143
353	1.284017091
354	1.282137714
355	1.279194173
356	1.276798252
357	1.275101673
358	1.273914284
359	1.270993716
360	1.269224354
361	1.265449458
362	1.261132019
363	1.257798879
364	1.254129676
365	1.252415936
366	1.24847937
367	1.245663178
368	1.242671187
369	1.239584282
370	1.234852417
371	1.232464325
372	1.227023688
373	1.222659767
374	1.219383497
375	1.217028291
376	1.214087899
377	1.211784225
378	1.208669191
379	1.208005406
380	1.205712443
381	1.203373667
382	1.2001328
383	1.197612656
384	1.194619647
385	1.191850745
386	1.188614101
387	1.187000254
388	1.184817435
389	1.181873243
390	1.179101793
391	1.176404926
392	1.174881012
393	1.17250875
394	1.170571222
395	1.167136785
396	1.166111033
397	1.163023781
398	1.160664969
399	1.157680656
400	1.154860613
401	1.153510117
402	1.15332039
403	1.151748136
404	1.148120026
405	1.146440129
406	1.14368974
407	1.142210808
408	1.139160458
409	1.138747496
410	1.13807811
411	1.13514935
412	1.133580448
413	1.130823929
414	1.127253375
415	1.124830401
416	1.121751172
417	1.121604526
418	1.119400913
419	1.11918115
420	1.117817947
421	1.114821496
422	1.111805747
423	1.10789881
424	1.105001041
425	1.104354657
426	1.102428505
427	1.099440929
428	1.098544422
429	1.095700802
430	1.094242336
431	1.092080176
432	1.088431744
433	1.087307128
434	1.085276635
435	1.082848137
436	1.081925212
437	1.078495452
438	1.074925702
439	1.072055353
440	1.07092692
441	1.070592502
442	1.067620724
443	1.063682192
444	1.060913845
445	1.058382568
446	1.055321466
447	1.054020119
448	1.051996099
449	1.04881079
450	1.046490916
451	1.045761178
452	1.044793891
453	1.042116868
454	1.039656796
455	1.037697754
456	1.036578581
457	1.035954268
458	1.035003932
459	1.032480615
460	1.031206869
461	1.030241791
462	1.027765174
463	1.026828473
464	1.025032902
465	1.021691519
466	1.019839065
467	1.016664487
468	1.014338141
469	1.01299131
470	1.011325482
471	1.01024385
472	1.007499049
473	1.004476476
474	1.002887835
475	0.9994776827
476	0.9969049362
477	0.9967154581
478	0.9949681114
479	0.992434452
480	0.9902931868
481	0.988352261
482	0.9867898076
483	0.9857547856
484	0.9833903554
485	0.9826473141
486	0.980630986
487	0.9785692984
488	0.9783891423
489	0.9763450397
490	0.9750353069
491	0.9729368347
492	0.9707123845
493	0.9683807664
494	0.9666395326
495	0.9652087614
496	0.962539435
497	0.960529431
498	0.9603756289
499	0.9584620012
